[08-Nov-2023 12:08:48 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 12:08:48 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 12:08:48 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 12:08:48 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 161
[08-Nov-2023 12:10:11 Asia/Calcutta] PHP Warning:  Undefined array key "UserEmpReraId" in D:\xampp\htdocs\apnalead\handler\ModuleController\UserController.php on line 80
[08-Nov-2023 12:13:10 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\index.php on line 192
[08-Nov-2023 12:13:27 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:13:27 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:13:27 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:15 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:14:16 Asia/Calcutta] PHP Warning:  Undefined variable $Lead in D:\xampp\htdocs\apnalead\handler\index.php on line 162
[08-Nov-2023 12:16:15 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:16:15 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:16:15 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:17:01 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:17:01 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:17:01 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:17:01 Asia/Calcutta] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown column 'company_main_alloted_id' in 'where clause' in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php:12
Stack trace:
#0 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(12): mysqli_query(Object(mysqli), 'SELECT * FROM c...')
#1 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(26): SELECT('SELECT * FROM c...')
#2 D:\xampp\htdocs\apnalead\handler\index.php(163): FETCH('SELECT * FROM c...', 'company_alloted...')
#3 {main}
  thrown in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php on line 12
[08-Nov-2023 12:18:45 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:18:45 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:18:45 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
