#1 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(26): SELECT(NULL)
#2 D:\xampp\htdocs\apnalead\app\leads\add.php(295): FETCH(NULL, 'LeadPriorityLev...')
#3 {main}
  thrown in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php on line 12
[23-Oct-2023 12:09:20 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:20 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:20 Asia/Calcutta] PHP Warning:  Undefined variable $PageSqls in D:\xampp\htdocs\apnalead\app\leads\add.php on line 295
[23-Oct-2023 12:09:20 Asia/Calcutta] PHP Fatal error:  Uncaught ValueError: mysqli_query(): Argument #2 ($query) cannot be empty in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php:12
Stack trace:
#0 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(12): mysqli_query(Object(mysqli), '')
#1 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(26): SELECT(NULL)
#2 D:\xampp\htdocs\apnalead\app\leads\add.php(295): FETCH(NULL, 'LeadPriorityLev...')
#3 {main}
  thrown in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php on line 12
[23-Oct-2023 12:09:44 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:44 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:44 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:09:44 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:09:44 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:09:49 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:49 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:09:49 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:09:49 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:09:49 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:23:27 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:23:27 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:23:27 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:23:27 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:23:27 Asia/Calcutta] PHP Warning:  Undefined variable $checked in D:\xampp\htdocs\apnalead\app\leads\add.php on line 300
[23-Oct-2023 12:24:31 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:24:31 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:25:48 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:25:48 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:26:19 Asia/Calcutta] PHP Warning:  Undefined variable $LeadFollowUpRemindNotes in D:\xampp\htdocs\apnalead\handler\ModuleController\LeadsController.php on line 94
[23-Oct-2023 12:26:19 Asia/Calcutta] PHP Warning:  Undefined variable $LeadPersonCreatedAt in D:\xampp\htdocs\apnalead\handler\ModuleController\LeadsController.php on line 110
[23-Oct-2023 12:26:19 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 12:26:19 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 15:43:37 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 15:43:37 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 15:43:48 Asia/Calcutta] PHP Warning:  Undefined array key "LeadFollowStatus" in D:\xampp\htdocs\apnalead\handler\ModuleController\LeadsController.php on line 30
[23-Oct-2023 15:43:48 Asia/Calcutta] PHP Warning:  Undefined variable $LeadPersonCreatedAt in D:\xampp\htdocs\apnalead\handler\ModuleController\LeadsController.php on line 96
[23-Oct-2023 15:43:48 Asia/Calcutta] PHP Warning:  Undefined variable $ProjectTypes in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
[23-Oct-2023 15:43:48 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\add.php on line 180
