[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cheque-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Cash-Payments.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Undefined variable $data in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 09:49:34 Asia/Calcutta] PHP Warning:  Attempt to read property "AssetsId" on null in C:\xampp\htdocs\roofnassets\include\sections\Update-Online-Payment-Details.php on line 11
[24-Feb-2023 10:48:39 Asia/Calcutta] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\roofnassets\admin\logout.php on line 5
[24-Feb-2023 10:57:03 Asia/Calcutta] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in C:\xampp\htdocs\roofnassets\admin\logout.php on line 5
[24-Feb-2023 11:03:53 Asia/Calcutta] PHP Warning:  include(C:\xampp\htdocs\roofnassets\require/web/): Failed to open stream: No such file or directory in C:\xampp\htdocs\roofnassets\require\web-modules.php on line 7
[24-Feb-2023 11:03:53 Asia/Calcutta] PHP Warning:  include(): Failed opening 'C:\xampp\htdocs\roofnassets\require/web/' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\roofnassets\require\web-modules.php on line 7
